skill_id,display_name,slot,shape,radius,inner_radius,width,angle_degrees,damage,pulses,interval,delay,follow_player,anchor_on_target,maximum_targets,chain_range,status_id,status_duration,consume_status_id,combo_multiplier,rotation_per_pulse,defense_add,speed_multiplier,buff_duration,cooldown,energy,description
arc_link,연쇄 전격,0,chain,520,80,48,90,18,1,0.5,0,FALSE,FALSE,5,170,shock,3,,2,0,0,1,4,7,25,가까운 적 다섯에게 차례로 전격 연결
relay_stun,정지 릴레이,1,chain,440,80,48,90,5,1,0.5,0,FALSE,FALSE,4,140,stun,2,,2,0,0,1,4,10,25,네 대상을 연결하여 공격과 이동 정지
overload_link,과부하 연결,0,chain,520,80,48,90,16,1,0.5,0,FALSE,FALSE,6,190,,2,shock,3,0,0,1,4,11,35,감전 표식을 소모하면 연결 피해 세 배
relay_barrage,반복 릴레이,2,chain,400,80,48,90,7,5,0.6,0,TRUE,FALSE,3,160,shock,2,,2,0,0,1,4,12,35,이동하며 세 대상에게 다섯 번 전격 연결
plasma_lance,플라스마 창,0,line,700,80,42,90,32,1,0.5,0,FALSE,FALSE,12,150,,2,,2,0,0,1,4,8,25,정면의 좁고 긴 경로를 관통
cryo_ray,냉각 광선,1,line,550,80,64,90,5,6,0.3,0,FALSE,FALSE,12,150,slow,2,,2,0,0,1,4,10,25,발동 방향 고정 광선으로 반복 둔화
breach_ray,균열 광선,0,line,600,80,90,90,14,1,0.5,0,FALSE,FALSE,16,150,vulnerable,5,,2,0,0,1,4,9,25,직선의 적에게 받는 피해 증가 표식
rotating_ray,회전 절단광,2,line,360,80,54,90,9,8,0.25,0,TRUE,FALSE,12,150,,2,,2,45,0,1,4,14,35,플레이어를 중심으로 광선이 한 바퀴 회전
crossfire,십자 섬광,0,line,500,80,70,90,24,4,0.1,0,FALSE,FALSE,16,150,,2,,2,90,0,1,4,12,30,발동 위치에서 네 방향으로 차례 발사
charged_rail,축전 레일,0,line,820,80,36,90,85,1,0.5,1.1,FALSE,FALSE,8,150,,2,,2,0,0,1,4,16,40,경로 예고 뒤 좁은 고위력 관통 사격
