equipment_kind,definition_id,display_name,innate_skill_id,innate_skill_name,innate_trigger_hits,innate_fixed_damage,innate_effect_kind,innate_effect_radius,innate_maximum_targets,fixed_option_id,fixed_option_name,fixed_option_modifier,fixed_option_operation,fixed_option_value,scaling_policy,source_status
weapon,assault_rifle,돌격소총,capacitor_echo,축전 반향,3,1.5,single_target,0,1,stabilized_barrel,안정화 강선,damage_multiply,multiply,1.06,fixed_identity,provisional
weapon,service_pistol,제식 권총,breaker_echo,브레이커 에코,2,2.2,single_target,0,1,long_sight_line,긴 조준선,target_range_multiply,multiply,1.08,fixed_identity,provisional
weapon,combat_dagger,전투 단검,bleeding_edge,잔상 절단,2,1,single_target,0,1,balanced_tang,균형형 탱,damage_multiply,multiply,1.04,fixed_identity,provisional
weapon,greatsword,중량 대검,seismic_echo,지진파,1,2.8,single_target,0,1,weighted_spine,중량 척추,damage_multiply,multiply,1.1,fixed_identity,provisional
weapon,pulse_rifle,전격 펄스 소총,pulse_overflow,펄스 오버플로,1,1,electric_area,144,8,pulse_cycle,펄스 순환기,fire_interval_multiply,multiply,0.92,fixed_identity,provisional
weapon,breach_shotgun,돌파 산탄총,breach_echo,돌파 반향,5,1.4,single_target,0,1,reinforced_bore,강화 총열,damage_multiply,multiply,1.04,fixed_identity,provisional
weapon,rail_rifle,관통 레일 소총,rail_echo,레일 잔향,2,2,single_target,0,1,rail_sight,레일 조준선,target_range_multiply,multiply,1.08,fixed_identity,provisional
weapon,arc_spear,전격 관통창,spear_discharge,창끝 방전,3,1.2,electric_area,96,4,balanced_shaft,균형 창대,damage_multiply,multiply,1.04,fixed_identity,provisional
armor,tactical_vest,전술 방탄복,,,,,,,,trauma_liner,충격 흡수 내피,max_health,add,10,fixed_identity,provisional
armor,runner_boots,기동 전투화,,,,,,,,responsive_sole,반응형 전술 밑창,movement_speed,add,12,fixed_identity,provisional
armor,bastion_head,수호자 헬멧,,,,,,,,bastion_head_lining,강화 내피,defense,add,0.5,fixed_identity,provisional
armor,bastion_body,수호자 전투복,,,,,,,,bastion_body_lining,강화 내피,defense,add,0.5,fixed_identity,provisional
armor,bastion_hands,수호자 장갑,,,,,,,,bastion_hands_lining,강화 내피,defense,add,0.5,fixed_identity,provisional
armor,bastion_feet,수호자 전투화,,,,,,,,bastion_feet_lining,강화 내피,defense,add,0.5,fixed_identity,provisional
armor,strider_head,질주자 헬멧,,,,,,,,strider_head_lining,기동 섬유,movement_speed,add,3,fixed_identity,provisional
armor,strider_body,질주자 전투복,,,,,,,,strider_body_lining,기동 섬유,movement_speed,add,3,fixed_identity,provisional
armor,strider_hands,질주자 장갑,,,,,,,,strider_hands_lining,기동 섬유,movement_speed,add,3,fixed_identity,provisional
armor,strider_feet,질주자 전투화,,,,,,,,strider_feet_lining,기동 섬유,movement_speed,add,3,fixed_identity,provisional
armor,conduit_head,축전자 헬멧,,,,,,,,conduit_head_lining,축전 내피,max_health,add,3,fixed_identity,provisional
armor,conduit_body,축전자 전투복,,,,,,,,conduit_body_lining,축전 내피,max_health,add,3,fixed_identity,provisional
armor,conduit_hands,축전자 장갑,,,,,,,,conduit_hands_lining,축전 내피,max_health,add,3,fixed_identity,provisional
armor,conduit_feet,축전자 전투화,,,,,,,,conduit_feet_lining,축전 내피,max_health,add,3,fixed_identity,provisional
