target_kind,target_id,level,maximum_level,module_capacity_cost,credit_cost,material_quantity,player_stat_id,player_stat_add,player_stat_multiply,weapon_damage_add,weapon_damage_multiply,weapon_fire_interval_multiply,weapon_target_range_multiply,runtime_enabled,display_name,description
weapon,assault_rifle,1,3,0,0,0,,0,1,0,1,1,1,TRUE,돌격소총 Lv.1,기본 단계
weapon,assault_rifle,2,3,0,0,0,,0,1,0.5,1,1,1,TRUE,돌격소총 Lv.2,무기 피해 +0.5
weapon,assault_rifle,3,3,0,0,0,,0,1,1,1,1,1,TRUE,돌격소총 Lv.3,무기 피해 +1.0
weapon,service_pistol,1,3,0,0,0,,0,1,0,1,1,1,TRUE,제식 권총 Lv.1,기본 단계
weapon,service_pistol,2,3,0,0,0,,0,1,0.7,1,1,1,TRUE,제식 권총 Lv.2,무기 피해 +0.7
weapon,service_pistol,3,3,0,0,0,,0,1,1.4,1,1,1,TRUE,제식 권총 Lv.3,무기 피해 +1.4
armor,tactical_vest,1,3,0,0,0,defense,0,1,0,1,1,1,TRUE,전술 방탄복 Lv.1,기본 단계
armor,tactical_vest,2,3,0,0,0,defense,1,1,0,1,1,1,TRUE,전술 방탄복 Lv.2,추가 방어력 +1
armor,tactical_vest,3,3,0,0,0,defense,2,1,0,1,1,1,TRUE,전술 방탄복 Lv.3,추가 방어력 +2
armor,runner_boots,1,3,0,0,0,movement_speed,0,1,0,1,1,1,TRUE,기동 전투화 Lv.1,기본 단계
armor,runner_boots,2,3,0,0,0,movement_speed,8,1,0,1,1,1,TRUE,기동 전투화 Lv.2,이동 속도 +8
armor,runner_boots,3,3,0,0,0,movement_speed,16,1,0,1,1,1,TRUE,기동 전투화 Lv.3,이동 속도 +16
module,ballistic_core,1,3,4,120,1,,0,1,0,1,1,1,TRUE,탄도 연산 코어 Lv.1,장착 코스트 4
module,ballistic_core,2,3,3,240,1,,0,1,0.5,1,1,1,TRUE,탄도 연산 코어 Lv.2,장착 코스트 3 및 피해 +0.5
module,ballistic_core,3,3,2,0,0,,0,1,1,1,1,1,TRUE,탄도 연산 코어 Lv.3,장착 코스트 2 및 피해 +1.0
module,vitality_matrix,1,3,5,120,1,max_health,0,1,0,1,1,1,TRUE,생체 강화 매트릭스 Lv.1,장착 코스트 5
module,vitality_matrix,2,3,3,240,1,max_health,5,1,0,1,1,1,TRUE,생체 강화 매트릭스 Lv.2,장착 코스트 3 및 체력 +5
module,vitality_matrix,3,3,2,0,0,max_health,10,1,0,1,1,1,TRUE,생체 강화 매트릭스 Lv.3,장착 코스트 2 및 체력 +10
module,mobility_chip,1,3,3,120,1,movement_speed,0,1,0,1,1,1,TRUE,기동 보조 칩 Lv.1,장착 코스트 3
module,mobility_chip,2,3,2,240,1,movement_speed,5,1,0,1,1,1,TRUE,기동 보조 칩 Lv.2,장착 코스트 2 및 이동 속도 +5
module,mobility_chip,3,3,1,0,0,movement_speed,10,1,0,1,1,1,TRUE,기동 보조 칩 Lv.3,장착 코스트 1 및 이동 속도 +10
module,armor_plate,1,4,4,120,1,defense,0,1,0,1,1,1,TRUE,복합 장갑판 Lv.1,장착 코스트 4
module,armor_plate,2,4,3,240,1,defense,1,1,0,1,1,1,TRUE,복합 장갑판 Lv.2,장착 코스트 3 및 방어력 +1
module,armor_plate,3,4,2,360,1,defense,2,1,0,1,1,1,TRUE,복합 장갑판 Lv.3,장착 코스트 2 및 방어력 +2
module,armor_plate,4,4,1,0,0,defense,3,1,0,1,1,1,TRUE,복합 장갑판 Lv.4,장착 코스트 1 및 방어력 +3
armor,bastion_head,1,3,0,0,0,max_health,0,1,0,1,1,1,TRUE,수호자 헬멧 Lv.1,기본 성장 체력 +0 · 고정 옵션/세트 배율 불변
armor,bastion_head,2,3,0,0,0,max_health,3,1,0,1,1,1,TRUE,수호자 헬멧 Lv.2,기본 성장 체력 +3 · 고정 옵션/세트 배율 불변
armor,bastion_head,3,3,0,0,0,max_health,6,1,0,1,1,1,TRUE,수호자 헬멧 Lv.3,기본 성장 체력 +6 · 고정 옵션/세트 배율 불변
armor,bastion_body,1,3,0,0,0,max_health,0,1,0,1,1,1,TRUE,수호자 전투복 Lv.1,기본 성장 체력 +0 · 고정 옵션/세트 배율 불변
armor,bastion_body,2,3,0,0,0,max_health,3,1,0,1,1,1,TRUE,수호자 전투복 Lv.2,기본 성장 체력 +3 · 고정 옵션/세트 배율 불변
armor,bastion_body,3,3,0,0,0,max_health,6,1,0,1,1,1,TRUE,수호자 전투복 Lv.3,기본 성장 체력 +6 · 고정 옵션/세트 배율 불변
armor,bastion_hands,1,3,0,0,0,max_health,0,1,0,1,1,1,TRUE,수호자 장갑 Lv.1,기본 성장 체력 +0 · 고정 옵션/세트 배율 불변
armor,bastion_hands,2,3,0,0,0,max_health,3,1,0,1,1,1,TRUE,수호자 장갑 Lv.2,기본 성장 체력 +3 · 고정 옵션/세트 배율 불변
armor,bastion_hands,3,3,0,0,0,max_health,6,1,0,1,1,1,TRUE,수호자 장갑 Lv.3,기본 성장 체력 +6 · 고정 옵션/세트 배율 불변
armor,bastion_feet,1,3,0,0,0,max_health,0,1,0,1,1,1,TRUE,수호자 전투화 Lv.1,기본 성장 체력 +0 · 고정 옵션/세트 배율 불변
armor,bastion_feet,2,3,0,0,0,max_health,3,1,0,1,1,1,TRUE,수호자 전투화 Lv.2,기본 성장 체력 +3 · 고정 옵션/세트 배율 불변
armor,bastion_feet,3,3,0,0,0,max_health,6,1,0,1,1,1,TRUE,수호자 전투화 Lv.3,기본 성장 체력 +6 · 고정 옵션/세트 배율 불변
armor,strider_head,1,3,0,0,0,max_health,0,1,0,1,1,1,TRUE,질주자 헬멧 Lv.1,기본 성장 체력 +0 · 고정 옵션/세트 배율 불변
armor,strider_head,2,3,0,0,0,max_health,3,1,0,1,1,1,TRUE,질주자 헬멧 Lv.2,기본 성장 체력 +3 · 고정 옵션/세트 배율 불변
armor,strider_head,3,3,0,0,0,max_health,6,1,0,1,1,1,TRUE,질주자 헬멧 Lv.3,기본 성장 체력 +6 · 고정 옵션/세트 배율 불변
armor,strider_body,1,3,0,0,0,max_health,0,1,0,1,1,1,TRUE,질주자 전투복 Lv.1,기본 성장 체력 +0 · 고정 옵션/세트 배율 불변
armor,strider_body,2,3,0,0,0,max_health,3,1,0,1,1,1,TRUE,질주자 전투복 Lv.2,기본 성장 체력 +3 · 고정 옵션/세트 배율 불변
armor,strider_body,3,3,0,0,0,max_health,6,1,0,1,1,1,TRUE,질주자 전투복 Lv.3,기본 성장 체력 +6 · 고정 옵션/세트 배율 불변
armor,strider_hands,1,3,0,0,0,max_health,0,1,0,1,1,1,TRUE,질주자 장갑 Lv.1,기본 성장 체력 +0 · 고정 옵션/세트 배율 불변
armor,strider_hands,2,3,0,0,0,max_health,3,1,0,1,1,1,TRUE,질주자 장갑 Lv.2,기본 성장 체력 +3 · 고정 옵션/세트 배율 불변
armor,strider_hands,3,3,0,0,0,max_health,6,1,0,1,1,1,TRUE,질주자 장갑 Lv.3,기본 성장 체력 +6 · 고정 옵션/세트 배율 불변
armor,strider_feet,1,3,0,0,0,max_health,0,1,0,1,1,1,TRUE,질주자 전투화 Lv.1,기본 성장 체력 +0 · 고정 옵션/세트 배율 불변
armor,strider_feet,2,3,0,0,0,max_health,3,1,0,1,1,1,TRUE,질주자 전투화 Lv.2,기본 성장 체력 +3 · 고정 옵션/세트 배율 불변
armor,strider_feet,3,3,0,0,0,max_health,6,1,0,1,1,1,TRUE,질주자 전투화 Lv.3,기본 성장 체력 +6 · 고정 옵션/세트 배율 불변
armor,conduit_head,1,3,0,0,0,max_health,0,1,0,1,1,1,TRUE,축전자 헬멧 Lv.1,기본 성장 체력 +0 · 고정 옵션/세트 배율 불변
armor,conduit_head,2,3,0,0,0,max_health,3,1,0,1,1,1,TRUE,축전자 헬멧 Lv.2,기본 성장 체력 +3 · 고정 옵션/세트 배율 불변
armor,conduit_head,3,3,0,0,0,max_health,6,1,0,1,1,1,TRUE,축전자 헬멧 Lv.3,기본 성장 체력 +6 · 고정 옵션/세트 배율 불변
armor,conduit_body,1,3,0,0,0,max_health,0,1,0,1,1,1,TRUE,축전자 전투복 Lv.1,기본 성장 체력 +0 · 고정 옵션/세트 배율 불변
armor,conduit_body,2,3,0,0,0,max_health,3,1,0,1,1,1,TRUE,축전자 전투복 Lv.2,기본 성장 체력 +3 · 고정 옵션/세트 배율 불변
