entry_id,region_id,difficulty_id,map_size,source_type,item_id,grade,base_weight,minimum_quantity,maximum_quantity,boss_only,runtime_enabled,planner_note
rc_enemy_credits,ruined_city,any,any,enemy,credits,1,42,15,35,FALSE,TRUE,폐허 도시 기본 휴대 크레딧
rc_enemy_arc,ruined_city,any,any,enemy,arc_rune,1,24,1,1,FALSE,TRUE,초반 런 소켓 재료
rc_room_armor,ruined_city,any,any,room_reward,armor_plate_item,1,28,1,1,FALSE,TRUE,기본 방어 모듈 타겟 파밍
rc_room_pistol,ruined_city,any,any,room_reward,pistol_compensator_item,1,24,1,1,FALSE,TRUE,권총 파츠 타겟 파밍
rc_room_scope,ruined_city,veteran,any,room_reward,rifle_scope_item,2,12,1,1,FALSE,TRUE,베테랑 이상 소총 파츠
rc_vault_scope,ruined_city,any,any,vault,rifle_scope_item,2,34,1,1,FALSE,TRUE,금고 주력 파츠
rc_vault_rifle_bp,ruined_city,any,medium,vault,assault_rifle_blueprint,2,16,1,1,FALSE,TRUE,중형 이상 도면 기회
rc_boss_rifle_bp,ruined_city,any,any,boss,assault_rifle_blueprint,3,75,1,1,TRUE,TRUE,지역 보스 핵심 도면
rc_boss_rifle_elite,ruined_city,nightmare,large,boss,assault_rifle_blueprint,4,20,1,1,TRUE,TRUE,대형 악몽 돌격소총 도면 강화 확률
id_enemy_credits,industrial_district,any,any,enemy,credits,1,38,20,42,FALSE,TRUE,산업 지구 기본 휴대 크레딧
id_enemy_arc,industrial_district,any,any,enemy,arc_rune,1,18,1,1,FALSE,TRUE,전도 룬 보조 드랍
id_enemy_capacitor,industrial_district,veteran,any,enemy,capacitor_core,2,24,1,1,FALSE,TRUE,베테랑 이상 축전 코어
id_room_ballistic,industrial_district,any,any,room_reward,ballistic_core_item,2,32,1,1,FALSE,TRUE,공격 모듈 타겟 파밍
id_room_armor,industrial_district,any,any,room_reward,armor_plate_item,1,22,1,1,FALSE,TRUE,방어 모듈 보조 파밍
id_vault_rifle_bp,industrial_district,any,any,vault,assault_rifle_blueprint,2,24,1,1,FALSE,TRUE,돌격소총 도면
id_vault_vest_bp,industrial_district,veteran,medium,vault,tactical_vest_blueprint,3,28,1,1,FALSE,TRUE,중형 베테랑 전술 조끼 도면
id_boss_vest_bp,industrial_district,any,any,boss,tactical_vest_blueprint,3,78,1,1,TRUE,TRUE,지역 보스 핵심 도면
id_boss_vest_elite,industrial_district,nightmare,large,boss,tactical_vest_blueprint,4,18,1,1,TRUE,TRUE,대형 악몽 전술 조끼 도면 강화 확률
rx_enemy_credits,research_complex,any,any,enemy,credits,1,34,24,48,FALSE,TRUE,연구 단지 기본 휴대 크레딧
rx_enemy_capacitor,research_complex,any,any,enemy,capacitor_core,2,26,1,1,FALSE,TRUE,축전 코어 주력 드랍
rx_enemy_phase,research_complex,veteran,any,enemy,phase_artifact,3,18,1,1,FALSE,TRUE,베테랑 이상 위상 유물
rx_room_vitality,research_complex,any,any,room_reward,vitality_matrix_item,2,30,1,1,FALSE,TRUE,생존 모듈 타겟 파밍
rx_room_mobility,research_complex,any,any,room_reward,mobility_chip_item,2,28,1,1,FALSE,TRUE,기동 모듈 타겟 파밍
rx_vault_vest_bp,research_complex,any,any,vault,tactical_vest_blueprint,3,24,1,1,FALSE,TRUE,전술 조끼 도면
rx_vault_magnetic_bp,research_complex,veteran,medium,vault,magnetic_field_blueprint,4,32,1,1,FALSE,TRUE,중형 베테랑 자기장 도면
rx_boss_magnetic_bp,research_complex,any,any,boss,magnetic_field_blueprint,4,82,1,1,TRUE,TRUE,지역 보스 핵심 도면
rx_boss_phase,research_complex,nightmare,large,boss,phase_artifact,5,28,1,2,TRUE,TRUE,대형 악몽 위상 유물 묶음
id_room_pulse_rifle,industrial_district,veteran,medium,room_reward,pulse_rifle,3,14,1,1,FALSE,TRUE,P4-04 현장 즉시 장착 검증용 주무기
rx_room_arc_dash,research_complex,veteran,medium,room_reward,arc_dash,4,12,1,1,FALSE,TRUE,P4-04B 현장 스킬 즉시 교체 검증
session_0_assault_rifle,ruined_city,any,any,room_reward,assault_rifle,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_0_service_pistol,ruined_city,any,any,room_reward,service_pistol,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_0_greatsword,ruined_city,any,any,room_reward,greatsword,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_0_tactical_vest,ruined_city,any,any,room_reward,tactical_vest,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_0_runner_boots,ruined_city,any,any,room_reward,runner_boots,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_0_rifle_scope_item,ruined_city,any,any,room_reward,rifle_scope_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_0_pistol_compensator_item,ruined_city,any,any,room_reward,pistol_compensator_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_0_greatsword_edge_item,ruined_city,any,any,room_reward,greatsword_edge_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_0_ballistic_core_item,ruined_city,any,any,room_reward,ballistic_core_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_0_vitality_matrix_item,ruined_city,any,any,room_reward,vitality_matrix_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_0_mobility_chip_item,ruined_city,any,any,room_reward,mobility_chip_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_0_armor_plate_item,ruined_city,any,any,room_reward,armor_plate_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_boss_0_0,ruined_city,any,any,boss,assault_rifle,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
session_boss_0_1,ruined_city,any,any,boss,tactical_vest,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
session_boss_0_2,ruined_city,any,any,boss,ballistic_core_item,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
session_boss_0_3,ruined_city,any,any,boss,rifle_scope_item,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
session_1_assault_rifle,industrial_district,any,any,room_reward,assault_rifle,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_1_service_pistol,industrial_district,any,any,room_reward,service_pistol,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_1_greatsword,industrial_district,any,any,room_reward,greatsword,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_1_tactical_vest,industrial_district,any,any,room_reward,tactical_vest,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_1_runner_boots,industrial_district,any,any,room_reward,runner_boots,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_1_rifle_scope_item,industrial_district,any,any,room_reward,rifle_scope_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_1_pistol_compensator_item,industrial_district,any,any,room_reward,pistol_compensator_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_1_greatsword_edge_item,industrial_district,any,any,room_reward,greatsword_edge_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_1_ballistic_core_item,industrial_district,any,any,room_reward,ballistic_core_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_1_vitality_matrix_item,industrial_district,any,any,room_reward,vitality_matrix_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_1_mobility_chip_item,industrial_district,any,any,room_reward,mobility_chip_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_1_armor_plate_item,industrial_district,any,any,room_reward,armor_plate_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_boss_1_0,industrial_district,any,any,boss,assault_rifle,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
session_boss_1_1,industrial_district,any,any,boss,tactical_vest,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
session_boss_1_2,industrial_district,any,any,boss,ballistic_core_item,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
session_boss_1_3,industrial_district,any,any,boss,rifle_scope_item,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
session_2_assault_rifle,research_complex,any,any,room_reward,assault_rifle,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_2_service_pistol,research_complex,any,any,room_reward,service_pistol,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_2_greatsword,research_complex,any,any,room_reward,greatsword,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_2_tactical_vest,research_complex,any,any,room_reward,tactical_vest,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_2_runner_boots,research_complex,any,any,room_reward,runner_boots,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_2_rifle_scope_item,research_complex,any,any,room_reward,rifle_scope_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_2_pistol_compensator_item,research_complex,any,any,room_reward,pistol_compensator_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_2_greatsword_edge_item,research_complex,any,any,room_reward,greatsword_edge_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_2_ballistic_core_item,research_complex,any,any,room_reward,ballistic_core_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_2_vitality_matrix_item,research_complex,any,any,room_reward,vitality_matrix_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_2_mobility_chip_item,research_complex,any,any,room_reward,mobility_chip_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_2_armor_plate_item,research_complex,any,any,room_reward,armor_plate_item,2,16,1,1,FALSE,TRUE,임시 한 판 파밍 목록 · 4방 순환 분류 보정
session_boss_2_0,research_complex,any,any,boss,assault_rifle,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
session_boss_2_1,research_complex,any,any,boss,tactical_vest,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
session_boss_2_2,research_complex,any,any,boss,ballistic_core_item,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
session_boss_2_3,research_complex,any,any,boss,rifle_scope_item,3,30,1,1,TRUE,TRUE,보스 처치 전리품 · 장비·모듈·파츠
arsenal_ruined_city_combat_dagger_room_reward,ruined_city,any,any,room_reward,combat_dagger,2,12,1,1,FALSE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_ruined_city_combat_dagger_boss,ruined_city,any,any,boss,combat_dagger,3,20,1,1,TRUE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_ruined_city_breach_shotgun_room_reward,ruined_city,any,any,room_reward,breach_shotgun,2,12,1,1,FALSE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_ruined_city_breach_shotgun_boss,ruined_city,any,any,boss,breach_shotgun,3,20,1,1,TRUE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_ruined_city_rail_rifle_room_reward,ruined_city,any,any,room_reward,rail_rifle,2,12,1,1,FALSE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_ruined_city_rail_rifle_boss,ruined_city,any,any,boss,rail_rifle,3,20,1,1,TRUE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_ruined_city_arc_spear_room_reward,ruined_city,any,any,room_reward,arc_spear,2,12,1,1,FALSE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_ruined_city_arc_spear_boss,ruined_city,any,any,boss,arc_spear,3,20,1,1,TRUE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_industrial_district_combat_dagger_room_reward,industrial_district,any,any,room_reward,combat_dagger,2,12,1,1,FALSE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_industrial_district_combat_dagger_boss,industrial_district,any,any,boss,combat_dagger,3,20,1,1,TRUE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_industrial_district_breach_shotgun_room_reward,industrial_district,any,any,room_reward,breach_shotgun,2,12,1,1,FALSE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_industrial_district_breach_shotgun_boss,industrial_district,any,any,boss,breach_shotgun,3,20,1,1,TRUE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_industrial_district_rail_rifle_room_reward,industrial_district,any,any,room_reward,rail_rifle,2,12,1,1,FALSE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_industrial_district_rail_rifle_boss,industrial_district,any,any,boss,rail_rifle,3,20,1,1,TRUE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_industrial_district_arc_spear_room_reward,industrial_district,any,any,room_reward,arc_spear,2,12,1,1,FALSE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_industrial_district_arc_spear_boss,industrial_district,any,any,boss,arc_spear,3,20,1,1,TRUE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_research_complex_combat_dagger_room_reward,research_complex,any,any,room_reward,combat_dagger,2,12,1,1,FALSE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_research_complex_combat_dagger_boss,research_complex,any,any,boss,combat_dagger,3,20,1,1,TRUE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
arsenal_research_complex_breach_shotgun_room_reward,research_complex,any,any,room_reward,breach_shotgun,2,12,1,1,FALSE,TRUE,오너 요청 무기 다양화 · 임시 드랍 가중치 · 근접/총기 실물 획득
